Column A,Column B,Column C,Column D,Column E,Column F,Column G,Column H,Column I,Column J,Column K,Column L,Column M,Column N,Column O,Column P,Column Q,Column R,Column S
Nominal A.4,Nominal B.4,Nominal C.2,7,11/14/21,5.863707537,Ordinal G.3,TRUE,0.111323769,,451195,552900,Ordinal M.2,FALSE,,,0.937613971,0.749453038,
Nominal A.4,Nominal B.2,Nominal C.1,8,6/18/16,5.255515277,Ordinal G.6,FALSE,,814855,680183,,,,20.38065561,,0.164885346,0.400266635,
Nominal A.1,Nominal B.7,Nominal C.1,5,6/8/19,0.17023024,Ordinal G.5,FALSE,0.956197061,419521,139442,967979,,TRUE,21.30016392,Nominal P.5,0.073259852,0.669133383,0
Nominal A.2,Nominal B.2,Nominal C.3,4,10/7/20,,Ordinal G.6,FALSE,0.703925172,165877,864380,187656,,FALSE,37.23444545,Nominal P.1,0.386121484,0.985605959,9
Nominal A.4,Nominal B.4,Nominal C.3,6,1/20/18,,Ordinal G.6,TRUE,,367755,,836955,,FALSE,42.25876231,,0.979681121,0.15791109,9
Nominal A.5,,Nominal C.1,6,7/14/17,-2.305020449,Ordinal G.2,TRUE,0.164619366,363055,93884,294259,Ordinal M.4,,,Nominal P.5,0.506272605,0.317390205,
Nominal A.2,Nominal B.3,Nominal C.2,5,10/18/16,-7.994739419,,TRUE,0.011642659,910321,138318,768681,,FALSE,,Nominal P.2,0.386555037,0.979407916,
Nominal A.3,Nominal B.5,Nominal C.1,2,5/3/21,-3.250477168,Ordinal G.3,FALSE,0.739243469,891459,,91966,,,,Nominal P.4,0.174544685,,3
Nominal A.2,Nominal B.1,Nominal C.2,6,11/14/23,-2.243447278,Ordinal G.3,TRUE,,820102,397378,697338,Ordinal M.2,FALSE,28.11601261,Nominal P.6,0.620548252,,1
Nominal A.4,,Nominal C.1,4,5/25/21,,Ordinal G.5,FALSE,0.287900748,,289348,546623,,FALSE,,,0.13917255,,9
Nominal A.4,Nominal B.4,Nominal C.3,8,5/3/19,-0.578023776,Ordinal G.7,FALSE,0.292287332,997276,270770,14147,Ordinal M.4,,37.19335425,Nominal P.1,0.545744699,0.146121216,
Nominal A.5,Nominal B.2,Nominal C.1,4,12/11/19,2.831619129,Ordinal G.6,FALSE,0.586716564,986695,635098,772901,Ordinal M.4,TRUE,23.13730478,,0.86303225,,1
Nominal A.5,Nominal B.3,Nominal C.1,0,11/8/20,,Ordinal G.6,TRUE,0.771213135,107259,191583,878770,,FALSE,0.253175815,Nominal P.3,0.751825936,0.009523268,
Nominal A.1,Nominal B.5,Nominal C.1,1,9/22/18,-5.69459703,,FALSE,0.41672916,508109,765279,243351,Ordinal M.4,,,,0.294099884,0.384469184,4
Nominal A.2,Nominal B.6,Nominal C.2,0,3/21/20,0.098396198,Ordinal G.2,FALSE,0.30770804,886368,67527,94781,,FALSE,,Nominal P.2,0.39258044,0.189709981,7
Nominal A.5,Nominal B.5,Nominal C.1,3,2/1/22,-9.63218805,Ordinal G.6,FALSE,0.437595605,660719,989240,165058,Ordinal M.1,TRUE,30.45133466,,0.935254029,0.972805395,
Nominal A.3,,Nominal C.1,9,11/2/19,3.333100326,Ordinal G.3,FALSE,0.334837756,480295,,461557,,,,Nominal P.3,0.64658259,0.761915901,8
Nominal A.4,,Nominal C.3,2,11/9/19,-3.589935791,,FALSE,0.844387421,2052,22247,531555,,,,Nominal P.6,0.388018836,0.024431121,
Nominal A.2,Nominal B.2,Nominal C.2,4,5/12/16,,Ordinal G.4,FALSE,,,777508,765051,,TRUE,,,0.798202396,0.702526968,6
Nominal A.5,Nominal B.1,Nominal C.3,0,1/22/20,4.076020841,Ordinal G.6,FALSE,0.599377865,682596,,,Ordinal M.1,TRUE,39.5601958,,0.837320374,0.791226589,2
Nominal A.4,Nominal B.3,Nominal C.3,9,7/30/22,,Ordinal G.4,TRUE,0.034771007,,,573082,,FALSE,,Nominal P.2,0.755856669,0.683585446,9
Nominal A.3,Nominal B.2,Nominal C.1,9,8/26/16,0.258485516,Ordinal G.6,FALSE,0.093442985,565264,8714,401341,,FALSE,29.49225718,Nominal P.1,0.797260746,0.320081077,
Nominal A.3,Nominal B.6,Nominal C.1,4,2/23/17,-6.996945952,Ordinal G.2,FALSE,,365476,357705,333137,,TRUE,3.807185749,,0.120635613,0.664566509,
Nominal A.3,Nominal B.6,Nominal C.1,8,9/5/22,-8.980215431,Ordinal G.7,FALSE,,145565,14294,425511,,,29.50366963,Nominal P.6,0.529147158,0.945130043,6
Nominal A.5,Nominal B.6,Nominal C.2,8,7/8/17,3.959519507,Ordinal G.4,FALSE,0.883498453,532372,569656,433500,,FALSE,31.30909264,Nominal P.1,0.432600521,0.789019422,
Nominal A.5,,Nominal C.1,6,3/29/23,0.226819855,,FALSE,0.825022338,869546,,871571,,,46.93371772,Nominal P.4,0.86401177,0.503008215,6
Nominal A.1,Nominal B.4,Nominal C.2,4,10/5/18,,,FALSE,0.406797106,551111,389731,,,,29.38110484,,0.285223511,,9
Nominal A.1,Nominal B.6,Nominal C.2,5,1/26/19,1.879885443,Ordinal G.8,FALSE,0.213615751,434260,264711,867372,,,33.36212886,Nominal P.1,0.361348606,0.858944858,7
Nominal A.1,Nominal B.3,Nominal C.3,5,8/24/19,7.735657856,,FALSE,0.101570655,406969,246526,365595,,TRUE,14.08582883,,0.645920133,,
Nominal A.2,Nominal B.6,Nominal C.3,1,4/7/20,-7.99220411,Ordinal G.8,FALSE,0.836739674,243666,586486,536445,,FALSE,,,0.3499864,,
Nominal A.1,Nominal B.7,Nominal C.3,5,5/15/21,3.260351567,,FALSE,0.084505264,852888,254784,,,FALSE,19.41876141,,0.628910694,,
Nominal A.4,Nominal B.6,Nominal C.1,5,5/15/23,1.843521327,Ordinal G.5,FALSE,0.530718935,477431,560857,878892,,,0.994791715,Nominal P.1,,0.794251027,
Nominal A.5,Nominal B.5,Nominal C.3,0,10/30/17,,Ordinal G.8,FALSE,0.030055482,,483044,801655,Ordinal M.2,,45.67027244,Nominal P.5,0.971171209,,4
Nominal A.1,Nominal B.4,Nominal C.3,9,5/26/20,0.882563274,Ordinal G.7,FALSE,0.49170946,569970,511495,408629,Ordinal M.3,FALSE,47.81983423,,0.599183897,,2
Nominal A.1,Nominal B.5,Nominal C.2,6,5/1/20,,Ordinal G.7,FALSE,,409481,716219,243552,Ordinal M.4,TRUE,6.990054697,,0.505998909,0.026581477,9
Nominal A.4,Nominal B.6,Nominal C.1,1,5/3/18,-7.200014287,,FALSE,,,,742700,,FALSE,,,0.463034473,0.213574682,2
Nominal A.1,Nominal B.3,Nominal C.1,9,7/7/16,-0.036572433,Ordinal G.2,FALSE,0.761237715,880688,,,,TRUE,33.6279768,Nominal P.4,0.573509638,,0
Nominal A.4,,Nominal C.2,2,1/31/21,,,FALSE,,178074,430526,325134,,,19.81467816,Nominal P.6,0.085118789,0.801643353,7
Nominal A.3,Nominal B.7,Nominal C.3,8,9/9/21,3.899116481,Ordinal G.4,FALSE,0.608295767,,262501,718538,,,,Nominal P.5,0.228373662,0.27029886,9
Nominal A.4,Nominal B.7,Nominal C.2,3,4/21/22,7.190048696,Ordinal G.8,FALSE,0.330242014,47344,349841,601401,,TRUE,34.47476283,Nominal P.2,0.598867414,,4
Nominal A.5,Nominal B.4,Nominal C.2,4,10/21/20,2.219796547,Ordinal G.2,FALSE,0.766073258,849930,165520,532875,,,,,0.125397984,,
Nominal A.1,,Nominal C.3,3,3/27/20,7.304250456,Ordinal G.6,FALSE,0.896052583,82946,591359,893307,Ordinal M.2,TRUE,31.53355101,Nominal P.5,0.423214039,0.493340493,
Nominal A.3,Nominal B.5,Nominal C.3,5,1/30/23,-4.268057215,,FALSE,0.189021922,,,938522,,,,,0.891175803,0.642627577,2
Nominal A.5,Nominal B.2,Nominal C.3,3,12/31/21,-5.28459907,Ordinal G.6,FALSE,0.285346438,384007,,530705,,TRUE,15.54036163,,0.453575974,0.518214976,
Nominal A.2,,Nominal C.2,1,2/3/21,,,FALSE,0.494096792,822592,333731,71522,,,,Nominal P.5,0.984697281,0.221985509,
Nominal A.2,Nominal B.5,Nominal C.2,7,7/30/18,4.128561715,Ordinal G.5,FALSE,0.790297376,386262,,361670,,,,,0.563716342,0.855784068,3
Nominal A.5,Nominal B.5,Nominal C.3,5,3/3/22,8.442847711,Ordinal G.1,FALSE,0.766567616,,,365285,,,15.51765413,Nominal P.6,0.41915886,0.341938233,5
Nominal A.3,Nominal B.5,Nominal C.1,9,7/17/20,,Ordinal G.5,TRUE,0.110945889,,,644179,Ordinal M.4,FALSE,24.70633851,Nominal P.2,0.913445172,0.224274274,2
Nominal A.2,Nominal B.7,Nominal C.3,7,2/12/17,-6.299264497,Ordinal G.4,FALSE,0.357619797,160343,30244,,Ordinal M.1,FALSE,19.43039858,Nominal P.5,0.372736244,0.698629392,
Nominal A.5,Nominal B.7,Nominal C.2,5,2/22/23,4.106812602,Ordinal G.6,FALSE,0.185415938,945727,318277,632503,,,,Nominal P.1,0.208316469,0.172174701,2
Nominal A.2,Nominal B.3,Nominal C.2,4,4/12/23,1.460557436,Ordinal G.2,FALSE,0.01200596,712650,454764,27634,,,10.85041128,,0.261986936,0.353293261,
Nominal A.1,Nominal B.5,Nominal C.3,0,7/4/20,,,TRUE,,,51056,370008,Ordinal M.4,,,,0.89075993,0.447441487,
Nominal A.4,Nominal B.2,Nominal C.2,6,5/25/18,9.913154094,Ordinal G.7,FALSE,0.896794079,942031,,,,,2.07987375,Nominal P.6,0.956065758,0.242297407,7
Nominal A.2,Nominal B.2,Nominal C.3,1,7/5/21,,,FALSE,0.669922877,653457,167571,739342,,,47.21178211,Nominal P.3,0.724672568,0.130194767,
Nominal A.2,,Nominal C.3,3,8/18/22,0.21943046,,FALSE,0.886012985,,,95947,Ordinal M.2,,30.13560467,,0.094661049,0.347126368,
Nominal A.3,Nominal B.3,Nominal C.1,5,10/13/23,-4.24484527,Ordinal G.1,FALSE,0.817638884,221370,594912,850424,,,,Nominal P.1,0.753360698,,2
Nominal A.5,Nominal B.5,Nominal C.1,4,11/13/22,,Ordinal G.4,FALSE,0.779779179,144818,955198,179573,Ordinal M.2,,30.45946519,,0.108985969,0.38410416,0
Nominal A.3,Nominal B.6,Nominal C.2,3,1/21/23,2.834048638,,FALSE,0.959860722,228976,,177457,,,3.839963447,Nominal P.4,0.928633534,,8
Nominal A.2,Nominal B.6,Nominal C.2,1,9/10/20,-3.874866845,,FALSE,0.071921118,336117,,880921,,FALSE,48.80283278,,0.243532739,0.407603838,
Nominal A.1,Nominal B.4,Nominal C.3,1,7/6/21,0.370314547,Ordinal G.2,FALSE,0.078548041,,158370,617327,,TRUE,45.35207087,Nominal P.5,0.861666043,,2
Nominal A.1,Nominal B.7,Nominal C.3,9,11/15/21,6.610004333,,FALSE,0.919340889,84491,,535753,,FALSE,7.027121473,Nominal P.4,0.820540923,0.60965984,9
Nominal A.4,Nominal B.7,Nominal C.1,7,9/9/18,,,TRUE,0.670266619,337922,98554,133490,,FALSE,32.01092816,,0.677361402,0.019415901,4
Nominal A.1,Nominal B.4,Nominal C.1,6,5/5/21,9.539354877,Ordinal G.8,FALSE,0.614463234,296745,,522963,,TRUE,17.57148648,,0.838608178,0.239440898,
Nominal A.1,Nominal B.6,Nominal C.1,8,12/16/21,0.307481357,Ordinal G.7,FALSE,,815007,964676,502494,Ordinal M.3,,,,0.695716857,0.126293954,7
Nominal A.3,Nominal B.2,Nominal C.1,8,3/4/23,-3.132264999,Ordinal G.7,TRUE,0.935173929,803322,198217,588104,,TRUE,21.04911506,Nominal P.3,0.328343537,0.149894153,7
Nominal A.1,Nominal B.6,Nominal C.1,4,7/13/17,9.887517794,Ordinal G.3,FALSE,0.273755035,386322,,,,,,,0.176062186,,
Nominal A.5,Nominal B.6,Nominal C.1,1,8/1/21,,Ordinal G.5,FALSE,,380356,,91931,,TRUE,,Nominal P.3,0.371306342,0.964567007,0
Nominal A.2,Nominal B.6,Nominal C.3,9,5/4/18,,,FALSE,0.661216394,521320,,,,,46.38355756,Nominal P.4,0.288151284,,9
Nominal A.3,Nominal B.2,Nominal C.1,2,2/22/21,-1.098204242,Ordinal G.2,FALSE,,157826,533007,942281,,TRUE,47.81207964,Nominal P.5,0.1234973,0.341683051,
Nominal A.5,Nominal B.2,Nominal C.3,6,5/1/21,,Ordinal G.2,FALSE,0.281814795,650933,600195,584828,,TRUE,6.93103282,,0.32864424,0.452166541,2
Nominal A.5,Nominal B.5,Nominal C.3,8,2/19/22,-0.400597445,Ordinal G.2,TRUE,0.883025623,876093,883821,523457,Ordinal M.2,,,Nominal P.3,0.476486672,0.02699364,
Nominal A.4,Nominal B.5,Nominal C.2,2,8/28/22,-8.572886564,,TRUE,0.779587669,959434,992379,38435,Ordinal M.3,FALSE,20.06568127,Nominal P.1,,0.309452851,7
Nominal A.3,Nominal B.1,Nominal C.2,8,9/29/17,,,FALSE,0.377102921,507509,516989,180288,Ordinal M.3,,,,0.740458724,0.142167048,
Nominal A.2,Nominal B.2,Nominal C.1,7,6/30/22,-1.84129842,Ordinal G.8,FALSE,,,70421,,Ordinal M.4,,12.48542429,,0.382364601,0.013390762,
